Name,Street Address,Locality,State,Zip code,Telephone,fax
Atlanta Animal Rehab & Fitness,900 Holcomb Bridge Rd,Roswell,GA,30076, (770) 594-2688, (770) 649-5647
Animal Wellness Clinic,2790 Bethany Bend,Alpharetta,GA,30004, (678) 587-5171, (470) 514-5667
Animal Hospital of Nesbit Ferry Crossing Inc,9850 Nesbit Ferry Rd Ste 2,Alpharetta,GA,30022, (770) 642-8522, (770) 641-8677
Animal Emergency Center of North Fulton,900 Mansell Rd #19,Roswell,GA,30076, (770) 594-2266, (770) 641-8677
All Species 24 Hour Animal Hospital,4075 Pleasant Hill Rd.,Duluth,GA,30096, (678) 475-1262, (678) 475-1531
All Pets Emergency & Referral,6460 Highway 9 N,Alpharetta,GA,30004, (678) 366-2500, (678) 366-2550
Abbotts Bridge Animal Hospital,6250 Abbotts Bridge Road,Johns Creek,GA,30097, (678) 710-9041,
Westside Veterinary Hospital,1155 Powder Springs St,Marietta,GA,30064, (770) 427-0033, (770) 426-8622
West Marietta Veterinary Clinic,2985 Powder Springs Rd SW,Marietta,GA,30064, (770) 439-1994, (770) 439-2267
Windy Hill Veterinary Hospital,2170 Windy Hill Rd SE # B,Smyrna,GA,30080, (770) 333-9030, (770) 432-9030
Veterinary Clinic West,1100 Old Dallas Rd,Marietta,GA,30064, (770) 424-5484, (770) 514-7820
Veterinary Clinic,533 Roswell St NE,Marietta,GA,30060, (770) 428-3381, (770) 874-9397
VCA Terrell Mill Animal Hospital,1315 Powers Ferry Rd SE,Marietta,GA,30067, (770) 952-9300, (770) 952-1827
Vet Wellcare,3821 S Cobb Dr,Smyma,GA,30080, (770) 435-5135, (770) 952-1827
Riverside Veterinary Clinic,6462 GA Highway 91,Donalsonville,GA,39845, (229) 524-6198, (229) 524-6604
Coliquitt Animal Hospital,250 E Main St,Colquitt,GA,39837, (229) 758-8500, (229) 758-9555
Cuthbert Critter Care,51820 US-27,Cuthbert,GA,39840, (229) 732-2215, (229) 732-6381
Southwest Georgia Vet Hospital,2645 GA Highway 91,Donalsonville,GA,39845, (229) 524-2203, (229) 524-6604
Unleashed by Petco,4480 South Cobb Drive,Smyrna,GA,30080, (770) 803-9481, (770) 701-0324
Old School Veterinary Hospital,165 Bill Whitaker Rd,Dawson,GA,39842, (229) 995-3500,
Town & Country West Veterinary,1770 Powder Springs Rd. SW,Marietta,GA,30064, (770) 528-6363, (770) 701-0324
Animal Medical Center,1510 N. Broad Street,Cairo,GA,39828, (229) 377-2060, (229) 377-3478
Payton Animal Hospital,1450 N Main St,Blakely,GA,39823, (229) 723-3727, (229) 723-5528
Port City Animal Hospital,254 Whigham Dairy Rd,Bainbridge,GA,39818, (229) 246-9443, (229) 246-0414
2nd Avenue Animal Hospital,4025 2nd Ave.,Columbus,GA,31904, (706) 507-7297, (706) 507-7299
Animal Care Clinic Columbus,2540 Wynnton Rd,Columbus,GA,31906, (706) 327-4169, (706) 327-8788
All Cats Clinic,6320 Bradley Park Dr,Columbus,GA,31904, (706) 571-9099, (706) 221-7604
Affordable Veterinary Services,7660 Kayne Blvd,Columbus,GA,31909, (706) 221-7600, (706) 221-7604
Cairo Animal Hospital,1960 US Highway 84 E,Cairo,GA,39828, (229) 377-1803, (229) 377-1884
Animal Health Ctr,7870 Veterans Pkwy.,Columbus,GA,31909, (706) 323-5218, (706) 568-0414
Animal General Hospital Inc,3576 Macon Rd,Columbus,GA,31907, (706) 568-4848, (706) 568-0414
Animal Emergency Ctr,2509 Manchester Expy,Columbus,GA,31904, (706) 324-6659, (706) 324-2727
Caldwell Veterinary Clinic,2405 Sportsman Dr,Phenix City,AL,36867, (334) 297-5000, (334) 297-5940
Midland Animal Hospital,"6720 Flat Rock Court, Suite E",Midland,GA,31820, (706) 323-8316, (706) 565-5955
Fort Benning Veterinary Treatment Facility,"6417 10th Mountain Division Rd, Bldg 265",Fort Benning,GA,31905, (706) 545-4444, (706) 545-5439
Pet Vet Clinic,2012 Highway 280-431 N,Phenix City,AL,36867, (334) 291-2050, (706) 565-0041
Phenix Animal Hospital,1700 Crawford Rd,Opelika,AL,36867, (334) 298-3841, (334) 298-6330
PAWS Humane,4900 Milgen Rd,Columbus,GA,31907, (706) 565-0035, (706) 565-0041
Northside Animal Hospital,5360 Veterans Pkwy,Columbus,GA,31904, (706) 324-0333, (706) 324-7666
Northridge Veterinary Center,3081 Williams Road Unit C,Columbus,GA,31909, (706) 507-5105, (706) 565-5955
Summerville Animal Hospital,5011 Summerville Rd,Phenix City,AL,36867, (334) 297-1995, (706) 327-3410
Weems Road Small Animal Hospital,3701 Weems Rd,Columbus,GA,31909, (706) 563-8570, (706) 563-8644
University Avenue Veterinary,3800 University Ave,Columbus,GA,31907, (706) 563-7387, (706) 563-7360
Chattahoochee Regional Vet,502 Broad St,Cusseta,GA,31805, (706) 989-3931, (706) 989-3911
Rivertown Veterinary Emergency,4015 Veterans Ct,Columbus,GA,31909, (706) 507-1707, (706) 327-3410
River Road Animal Clinic,4242 River Rd,Columbus,GA,31904, (706) 327-8329, (706) 327-3410
Macon Road Veterinary Clinic,4398 Macon Rd,Columbus,GA,31907, (706) 563-6101, (706) 565-5955
Gateway Veterinary Hospital,6051 Gateway Rd,Columbus,GA,31909, (706) 561-5522, (706) 561-1757
Companion Animal Hospital,3720 Highway 431 N,Phenix City,AL,36867, (334) 297-2316, (706) 563-8984
Cooper Creek Petcare Hospital,4343 Milgen Rd,Columbus,GA,31907, (706) 569-8999, (706) 563-8984
Double Church's Animal Clinic,8365 Whitesville Road,Columbus,GA,31904, (706) 322-3232, (706) 563-8984
Columbus Veterinary Medical Center,6374 Schomburg Rd,Columbus,GA,31909, (706) 561-3341, (706) 563-8984
Brown's Farm Animal Veterinary Services,PO Box 2994,Phenix City,AL,36868, (706) 577-4365, (706) 568-0414
Cataula Veterinary Clinic,2767 US Highway 27,Cataula,GA,31804, (706) 324-0619, (334) 297-5940
Buena Vista Road Animal Hosp,4338 Buena Vista Rd,Columbus,GA,31907, (706) 561-1171, (706) 561-3366
Salter's Veterinary Hospital,183 Johnson St SE,Dawson,GA,39842, (229) 995-2051, (229) 995-2051
BENNING ANIMAL HOSPITAL,2047 Fort Benning Rd,Columbus,GA,31903, (706) 689-6240, (706) 568-0414
Bryan-Hight Vet Hospital of Bainbridge,1801 E Shotwell St,Bainbridge,GA,39819, (229) 246-8600, (229) 246-8625
Town & Country Veterinary Clinic South,1753 Spring St,Smyrna,GA,30080, (678) 309-1170, (678) 389-9483
Town & Country South Vet Clnc,2150 Austell Rd SW,Marietta,GA,30008, (770) 435-2854, (678) 389-9483
Suburban Veterinary Clinic,4290 Bells Ferry Rd NW # 140,Kennesaw,GA,30144, (770) 926-5003, (770) 926-7421
Total Veterinary Care Hospital ,1619 Collins Rd NW #600,Kennesaw,GA,30152, (678) 389-9981, (678) 389-9483
Smyrna Animal Hospital,2445 S Cobb Dr SE,Smyrna,GA,30080, (770) 436-2431, (770) 436-0649
Santa Marietta Animal Hospital,463 Atlanta St SE,Marietta,GA,30060, (678) 581-4055, (678) 581-4066
Shiloh Veterinary Hospital,3725 Cherokee St NW,Kennesaw,GA,30144, (770) 426-6900, (770) 424-2782
Smiths Station Animal Hospital,2778 Lee Road 430,Smiths Station,AL,36877, (334) 297-1050, (706) 327-3410
Crawford Road Animal Hospital,3106 US Highway 80 W,Phenix City,AL,36870, (334) 298-3489, (334) 298-3710
Hendricks Animal Clinic Inc,PO Box 385,Shiloh,GA,31826, (706) 846-3193, (706) 846-4453
Powers Ferry Animal Hospital,5565 New Northside Dr.,Atlanta,GA,30339, (770) 955-1291, (770) 952-6965
Branch's Veterinary Clinic,205 Belmont Ave,Tifton,GA,31794, (229) 382-6055, (229) 382-3544
Quailwood Animal Hospital,4024 Tift Ave N,Tifton,GA,31794, (229) 386-8794, (229) 386-4826
Young's Veterinary Clinic Inc,803 W Jackson St,Thomasville,GA,31792, (229) 226-6802, (229) 225-1741
Thomasville Animal Hospital,1103 Smith Ave,Thomasville,GA,31792, (229) 226-4561, (229) 226-1067
Red Hills Equine Svc,81 Fox Meadow Ln,Thomasville,GA,31799, (229) 225-1999, (229) 227-1757
Clanton-Malphus Veterinary,2134 E Pinetree Blvd,Thomasville,GA,31792, (229) 226-1914, (229) 227-1757
Southside Veterinary Center,3283 Veterans Pkwy S,Moultrie,GA,31788, (229) 985-7377, (229) 890-1736
Valley Veterinary Assoc,647 Butts Mill Rd,Pine Mountain,GA,31822, (706) 663-2128, (706) 663-7493
Dwain L Smith DVM,326 Benjamin Hill Dr. W,Fitzgerald,GA,31750, (229) 423-5544, (229) 423-8668
Country One Vet,647 Butts Mill Rd,Pine Mountain,GA,31822, (706) 663-8814, (706) 663-0686
Sylvester Animal Hospital,106 S Isabella St,Sylvester,GA,31791, (229) 776-3923,
Tifton Highway Veterinary Clinic,1306 1st St NE,Moultrie,GA,31776, (229) 985-1770, (229) 890-1001
Irwin Animal Clinic,367 Sly Hill Rd,Ocilla,GA,31774, (229) 468-7343, (229) 468-4157
Mitchell County Animal Clinic,4888 US Highway 19,Camilla,GA,31730, (229) 336-0396, (229) 336-1535
Curles Veterinary Clinic,2386 Cumberland Rd,Pelham,GA,31779, (229) 294-9761,
Matthews Veterinary Hospital,4121 South Main,Moultrie,GA,31768, (229) 985-9744,
Countryside Animal Clinic,2519 US Highway 82 W,Sylvester,GA,31791, (229) 776-3380,
Powder Springs Animal Clinic,4082 Macedonia Rd,Powder Springs,GA,30127, (770) 943-1811, (770) 439-6748
PACES FERRY VETERINARY CLINIC,9 Mountain St SE,ATLANTA,GA,30339, (770) 436-9822, (770) 818-5436
Philema Animal Clinic,1491 Philema Rd S,Leesburg,GA,31763, (229) 439-2266, (229) 439-2227
Leesburg Animal Hospital,246 Walnut Ave S,Leesburg,GA,31763, (229) 759-8384,
North Georgia Veterinary Referral Practice,302 Old Clay Street SE,Marietta,GA,30060, (770) 426-2260, (770) 426-2262
North Cobb Animal Clinic,2680 Cobb Pkwy NW # A,Kennesaw,GA,30152, (770) 422-0112, (770) 421-9336
Marietta Vet Clinic,3696 Largent Way NW #400,Marietta,GA,30064, (404) 919-5150, (770) 627-3903
Miller Mobile Veterinary Services,758 Fern St,Marietta,GA,30067, (404) 538-5448, (770) 627-3903
My Pet's Vet Kennesaw,840 Ernes Barret Parkway Suite #100,Kennesaw,GA,30144, (770) 869-2255, (770) 627-3903
Macland Animal Hospital,4150 Macland Road,Powder Springs,GA,30127, (770) 439-2640, (770) 499-0879
Lost Mountain Animal Hospital,3703 Largent Way NW,Marietta,GA,30064, (770) 590-1234, (770) 499-0879
Albany Vette & Classic's LLC,1745 Philema Rd S,Albany,GA,31701, (229) 889-1967, (229) 432-7419
Westover Animal Hospital,410 N Westover Blvd,Albany,GA,31707, (229) 883-1618, (229) 883-3334
Gillionville Animal Hospital,3208 Gillionville Road,Albany,GA,31707, (229) 888-5911, (229) 435-4026
Katz Veterinary Services,126 North Gordon St,Ashburn,GA,31714, (229) 567-4793,
Dockery Williams Odom & Deriso,140 N Magnolia St,Albany,GA,31707, (229) 435-1431, (229) 435-4026
Veterinary Treatment Facility - Moody AFB,4997 Burrell St Building 111,Moody AFB,GA,31699, (229) 257-3312, (229) 257-2899
Veterinary Treatment Facility - Moody AFB,4997 Burrell St Building 111,Moody AFB,GA,31699, (229) 257-3312, (229) 257-2899
Bush Animal Clinic,2419 Dawson Rd,Albany,GA,31707, (229) 439-7073, (229) 888-3779
Spelts & Masters Animal Hosp,404 N Cleveland St,Albany,GA,31701, (229) 436-0331, (229) 436-6678
Liberty Animal Hospital,1116 Liberty Expy SE,Albany,GA,31705, (229) 883-3800, (229) 883-2171
Harden Veterinary Clinic,1711 Radium Springs Rd,Albany,GA,31705, (229) 435-0793, (229) 439-7045
Lake Park Veterinary Clinic,3008 W Marion Ave,Lake Park,GA,31636, (229) 559-3000, (229) 559-6291
Branch's Veterinary Clinic,740 S Davis St,Nashville,GA,31639, (229) 686-3661, (229) 686-5162
Bassham Veterinary Hospital,PO Box 471,Quitman,GA,31643, (229) 263-7535,
Jodi Harbin Mobile Veterinary,6534 Empress Rd,Quitman,GA,31643, (229) 245-8387,
Adel Animal Hospital,520 S Elm St,Adel,GA,31620, (229) 896-4517, (229) 896-4654
Gardner & Hydrick Animal Hosp,1803 E Oglethorpe Blvd,Albany,GA,31705, (229) 439-7044, (229) 439-7045
Sport Vet Mobile,9110 Boston-Monticello Rd,Boston,GA,31626, (850) 296-6866, (850) 254-2981
Companion Animal Hospital,810 N Slappery Blvd,Albany,GA,31701, (229) 888-7181, (229) 432-7419
Animal Health Ctr,2905 Bemiss Rd,Valdosta,GA,31602, (229) 242-9818, (229) 242-6866
Animal Hospital Inc,602 W Dame Ave,Homerville,GA,31634, (912) 487-3474,
Albany Pet Partners,1601 E Broad Ave,Albany,GA,31705, (229) 432-0717, (229) 432-7419
Pineywoods Veterinary Hospital,4310 N Valdosta Rd,Valdosta,GA,31602, (229) 219-0777, (229) 244-3021
Whispering Pines Animal Hospital,131 Highway 27 East,Americus,GA,31709, (229) 924-6054, (229) 928-2003
Valdosta Animal Hospital,111 Northside Dr,Valdosta,GA,31602, (229) 247-2133, (229) 247-2134
Northside Animal Hospital,3398 N Valdosta Rd,Valdosta,GA,31602, (229) 244-2983, (229) 244-3021
Hahira Veterinary Clinic,600 Ga Hwy 122 W,Hahira,GA,31632, (229) 794-0040, (229) 794-0017
Azalea City Animal Hospital,2609 Bemiss Rd,Valdosta,GA,31602, (229) 244-2244, (229) 244-2079
Harper's Animal Clinic,509 W Forsyth St,Americus,GA,31709, (229) 928-3300, (229) 928-2003
Crane's Valdosta Veterinary,2520 Bemiss Rd,Valdosta,GA,31602, (229) 242-1454, (229) 244-1456
Baytree Animal Hospital,2004 Baytree Rd,Valdosta,GA,31602, (229) 244-5052, (229) 249-4048
Americus Veterinary Hospital,1037 Fetner Dr,Americus,GA,31709, (229) 924-6146, (229) 924-1245
Americus Animal Clinic,135 E Lamar St,Americus,GA,31709, (229) 924-4005, (229) 924-7255
Kennesaw Pet Center,2139 Cobb Pkwy NW,Kennesaw,GA,30152, (770) 428-5454, (770) 428-6748
Kennesaw Mountain Veterinary Services,2500 Cobb Parkway NW,Kennesaw,GA,30152, (770) 447-3927, (770) 425-5479
Leland Veterinary Clinic,290 Veterans Memorial Hwy SE,Mableton,GA,30126, (770) 944-2322, (770) 948-2579
Koopman Mobile Veterinary Svc,399 Powder Creek Way,Marietta,GA,30061, (770) 439-9592, (770) 428-6748
Kennesaw Mountain Animal Hospital ,1600 Kennesaw Due West Rd. Building 800 ,Kennesaw,GA,30152, (770) 419-0362, (770) 422-5967
Johnson Animal Clinic,555 Manget St SE,Marietta,GA,30060, (770) 422-5964, (770) 422-5967
Veterinary Care,2405 S Patterson St,Valdosta,GA,31601, (229) 242-2792, (229) 249-4069
Good Dog Veterinary Care,3894 Due West Rd NW  Suite 250 ,Marietta,GA,30064, (770) 450-4555, (770) 432-6874
Happy Tails Holistic Veterinary Care,3600 Chattahoochee Summit Drive SE,Atlanta,GA,30339, (678) 360-3002, (770) 432-6874
Fair Oaks Veterinary Clinic,2142 Austell Rd SW,Marietta,GA,30008, (770) 432-7155, (770) 432-6874
Due West Animal Clinic,3801 Due West Rd NW,Marietta,GA,30064, (770) 419-3381, (770) 419-7667
Veterinary Care Center,2411 S Patterson St,Valdosta,GA,31601, (229) 242-2792, (229) 249-4069
Betz Veterinary Services,400 East King Ave. ,Kingsland,GA,31548, (912) 270-3706,
Paws and Claws Veterinary Clinic,501 Kings Bay Rd.,Kingsland,GA,31548, (912) 673-7905, (912) 673-9509
Laurel Oaks Animal Hospital Inc,5775 Laurel Island Parkway,Kingsland,GA,31548, (912) 576-9801, (912) 576-9809
Animal Medical Clinic,4499 Highway 40,St Marys,GA,31558, (912) 882-4732, (912) 882-1385
Holmes Animal Clinic,107 N Railroad Ave,Folkston,GA,31537, (912) 496-7561,
Southern Paws Veterinary Clinic ,"1567 Third St. Folkston, ",Folkston,GA,31537, (912) 496-0040,
Padgett Veterinary Svc,15 E Coffee St,Hazlehurst,GA,31539, (912) 375-3465, (912) 375-3482
Camden Veterinary Clinic,10535 Colerain Rd,St Marys,GA,31558, (912) 882-8886, (912) 882-0954
Integrity Animal Hospital,5200 Hwy 17 North,Kingsland,GA,31548, (912) 729-4077, (912) 729-9677
Carter Veterinary Clinic,147 Bowens Mill Rd SE,Douglas,GA,31533, (912) 383-0418, (912) 383-0418
Brunswick Pet ER,208 Scranton Connector #122,Brunswick,GA,31525, (912) 275-8246,
Daniell Veterinary Clinic,149 Scranton Connector,Brunswick,GA,31525, (912) 264-9500, (912) 437-2661
Coastal Veterinary Svc,300 Highway 251,Darien,GA,31305, (912) 437-2661, (912) 437-2661
Golden Isles Animal Hospital,9 Glynn Ave,Brunswick,GA,31520, (912) 267-6002, (912) 554-3615
Southeast Georgia Vet Clinic,104 Candler Dr,Brunswick,GA,31523, (912) 554-8388, (912) 554-8334
Pet Doctor,1063 Pennick Rd,Brunswick,GA,31525, (912) 222-9519, (912) 437-2661
Coastal Animal Hospital,3607 Community Rd,Brunswick,GA,31520, (912) 554-2050, (912) 554-3615
Darien Animal Hospital,14155 GA Hwy 251,Darien,GA,31305, (912) 437-2112, (912) 437-2661
All Creatures Animal Hospital,1403 4th Ave,Brunswick,GA,31520, (912) 264-2258, (912) 264-5987
TYLER ANIMAL HOSPITAL,132 AIRPORT RD,ST SIMONS IS,GA,31522, (912) 638-7600, (912) 634-5941
Seaside Veterinary Hospital,175 Skylane Road,St Simons Island,GA,31522, (912) 638-7600, (912) 634-5941
Island Animal Hospital,2603 Demere Rd,St Simons Island,GA,31522, (912) 638-2583, (912) 638-7852
Cheek To Cheek Hospital For Animals,3220 Cypress Mill Rd,Brunswick,GA,31525, (912) 262-6851, (912) 265-1918
Coastal Cat Clinic ,280 Redfern Village,Saint Simons Island,GA,31522, (912) 634-2119, (912) 634-2644
Dockery Veterinary Hospital,1207 Peterson Ave N,Douglas,GA,31533, (912) 384-1827, (912) 383-0418
Lindsey & Wills Animal Hosp,1330 Baker Hwy W,Douglas,GA,31534, (912) 384-8160, (912) 383-8729
Integrity Animal Hospital,5200 Highway 17 N,Kingsland,GA,31548, (912) 729-4077, (912) 729-9677
Wolfe Animal Hospital,755 W Cherry St,Jesup,GA,31545, (912) 427-3212, (913) 367-9577
Dallas Highway Animal Hospital,5067 Dallas Hwy,Powder Springs,GA,30127, (770) 419-8086, (770) 419-3453
Cobb West Veterinary Hospital,1770 Powder Springs Rd SW,Marietta,GA,30064, (770) 426-9144, (770) 590-0785
Cumberland Animal Clinic,1860 Spring Rd SE # D,Smyrna,GA,30080, (770) 433-1414, (770) 433-9452
Community Animal Clinic of South Paulding,105 Brownsville Rd,Powder Springs,GA,30127, (678) 401-4588, (678) 398-7049
Cuddle Care Animal Hospital,3878 Austell Rd,Marietta,GA,30008, (770) 434-0311, (678) 398-7049
Cobb Central Animal Hospital,236 Powers Ferry Rd SE,Marietta,GA,30067, (770) 971-0100, (770) 971-2255
Gibson Animal Clinic,108 Riverside Dr,Waycross,GA,31501, (912) 285-7678, (912) 285-0470
Padgett Veterinary Svc,419 Market St,Alma,GA,31510, (912) 632-2711, (912) 632-2731
The Veterinary Clinic,102 Darling Ave,Waycross,GA,31501, (912) 283-0574, (678) 324-5012
Cedar Animal Hospital,150 Cedar St,Richmond Hill,GA,31324, (912) 756-7560, (912) 756-7564
Westside Animal Hospital,1454 US Hwy 80 E,Pooler,GA,31322, (912) 964-7102, (912) 964-7105
Wilmington Island Animal Hospital,7802 US Highway 80 E,Savannah,GA,31410, (912) 897-3300, (912) 898-1697
Whitemarsh Animal Care,4753 US-80 #100,Savannah,GA,31410, (912) 662-8620, (912) 355-4288
Tybee Animal Care LLC,802 1st Ave Ste C,Tybee Island,GA,31328, (912) 786-4006, (912) 786-4098
Savannah Veterinary Medical Center,2014 East Victory Dr,Savannah,GA,31404, (912) 447-8711, (912) 447-8714
Savannah Animal Care,510 W Bryan St,Savannah,GA,31401, (912) 335-1200, (912) 897-2994
Landmark Veterinary Services,408 East Taylor St.,Savannah,GA,31401, (912) 398-4834, (912) 897-2994
Island Veterinary Clinic,416 Johnny Mercer Blvd,Savannah,GA,31410, (912) 897-1121, (912) 897-2994
Forsyth Park Animal Hospital,513 Whitaker St. Ground Floor,Savannah,GA,31401, (912) 349-3953, (912) 777-5989
Eastside Veterinary Hospital,800 Ash St,Savannah,GA,31404, (912) 232-1741, (912) 233-7136
Central Animal Hospital,2417 Bull St,Savannah,GA,31401, (912) 234-4772, (912) 234-4669
Ducey Veterinary Clinic,2319 Bonaventure Rd,Savannah,GA,31404, (912) 232-5875, (912) 927-2002
Banfield Pet Hospital,1821 E. Victory Dr. Bldg B,Savannah,GA,31404, (912) 352-9266, (912) 897-5894
WEBB Animal Clinic,3612 Highway 21 S,Rincon,GA,31326, (912) 826-1830, (912) 826-7236
Pine Harbor Animal Hospital,3399 Fair Hope Rd. NE,Townsend,GA,31331, (912) 832-2315,
All About Pets Veterinary Svc,6707 Johnny Mercer Blvd,Savannah,GA,31410, (912) 507-7947, (912) 897-5894
Port City Animal Hospital ,492 Jimmy DeLoach Parkway Suite106 ,Port Wentworth,GA,31407, (912) 525-0255, (912) 748-8807
Godley Station Animal Hospital,127 Canal St,Pooler,GA,31322, (912) 748-8805, (912) 748-8807
Effingham Animal Hospital,119 S Columbia Ave,Rincon,GA,31326, (912) 826-5251, (912) 826-4834
Animal Hospital at Rice Hope,7512 Hwy 21,Port Wentworth,GA,31407, (912) 965-0330, (912) 544-2985
White Bluff Veterinary Hosp,5709 White Bluff Rd,Savannah,GA,31405, (912) 355-0707, (912) 355-4221
Vet Spec of SE Coastal Empire Vet Surgery,335 Stephenson Ave,Savannah,GA,31405, (912) 354-6681, (912) 355-4221
Southeast Veterinary Oncology and Medicine,335 Stephenson Ace,Savannah,GA,31406, , (904) 355-4221
VCA Greater Savannah Animal Hospital,1350 E DE Renne Ave,Savannah,GA,31406, (912) 355-8898, (912) 355-4288
Southside Hospital For Animals,10515 Abercorn St,Savannah,GA,31419, (912) 925-7925, (912) 925-6602
Savannah Veterinary Internal Medicine & Intensive Care,335 Stephenson Ave,Savannah,GA,31405, (912) 721-6410, (912) 721-6414
Live Oak Veterinary Neurology,335 Stephenson Ave,Savannah,GA,31405, (912) 662-7544, (888) 502-5687
Richmond Hill Animal Hospital,10400 Ford Ave.,Richmond Hill,GA,31324, (912) 756-3999, (912) 756-2076
Savannah Veterinary Emergency,335 Stephenson Ave,Savannah,GA,31405, (912) 355-6113, (912) 355-4221
Pet Fix Savannah,7215 Sallie Mood Dr. ,Savannah,GA,31406, (912) 354-6265, (888) 502-5687
Georgetown Veterinary Hospital,21 Brasseler Blvd,Savannah,GA,31419, (912) 927-3900, (912) 927-2002
Crossroad Animal Hospital,1201 E Montgomery Xrd,Savannah,GA,31406, (912) 927-4343, (912) 927-2002
Innovative Veterinary Medicine,7203 Skidaway Rd.,Savannah,GA,31406, (912) 401-0344, (912) 927-2002
Companion Animal Hospital,1452 Dean Forest Road,Savannah,GA,31405, (912) 239-6450, (912) 354-2131
Coastal Georgia Veterinary Care,100 Timber Trail #104,Richmond Hill,GA,31324, (912) 445-5163, (912) 354-2131
Coastal Animal Care & Bird,2007 Eisenhower Dr,Savannah,GA,31406, (912) 354-3121, (912) 354-2131
Cat Care Clinic,1190 King George Blvd # 13,Savannah,GA,31419, (912) 961-6220, (912) 351-5910
Case Veterinary Hospital,111 Eisenhower Dr,Savannah,GA,31406, (912) 352-3081, (912) 351-5910
Billy C Sanders DVM,1201 Montgomery Cross Rd,Savannah,GA,31406, (912) 927-4343, (912) 927-2002
Banfield The Pet Hospital,11132 Abercorn St,Savannah,GA,31419, (912) 927-0920, (912) 927-0814
Berwick Animal Hospital,5733 Ogeechee Road,Savannah,GA,31405, (912) 232-4249, (912) 232-4259
Animal Eye Clinic,"1 Southern Oaks Ct #400, Savannah, GA 31405",Savannah,GA,31405, (912) 236-2050, (912) 236-2097
Allison Animal Care,715 Mall Blvd,Savannah,GA,31406, (912) 999-6200, (912) 920-1970
Animal Eye Clinic,"1 Southern Oaks Court, Ste. 400",Savannah,GA,31405, (912) 236-2050, (912) 236-2097
Southpaw Animal Clinic,"2731 Memorial Dr., Ste. A",Waycross,GA,31501, (912) 283-5551, (912) 283-5189
204 Animal Hospital,15204 Abercorn St.,Savannah,GA,31419, (912) 920-4204, (912) 920-1970
Four Rivers Veterinary Center,1069 E Parker St,Baxley,GA,31515, (912) 367-7161, (912) 705-0201
Satilla Animal Hospital,511 S City Blvd,Waycross,GA,31501, (912) 283-7760, (912) 283-7962
Kimbrell Veterinary Clinic,3141 US Highway 84,Blackshear,GA,31516, (912) 449-4455, (912) 285-0470
Chastain Animal Clinic,2787 S Cobb Dr SE,Smyrna,GA,30080, (770) 435-7067, (770) 333-0823
Cats at Delk Spectrum,2900 Delk Rd SE,Marietta,GA,30067, (770) 984-2287, (404) 792-0772
Cat Care of Vinings,"4691 S. Atlanta Road SE, Ste. 200",Atlanta,GA,30339, (404) 792-0700, (404) 792-0772
Cat Care Hospital,1106 Powder Springs Rd SW,Marietta,GA,30064, (770) 424-6369, (770) 424-4766
Butler Creek Animal Hospital,3180 Acworth Due West Rd NW,Kennesaw,GA,30152, (770) 529-7277, (770) 529-3397
Bullard Animal Hospital,5700 Powder Springs Rd,Austell,GA,30106, (770) 941-3668, (770) 941-6414
Banfield The Pet Hospital,2540 Cumberland Blvd,Smyrna,GA,30080, (770) 434-7778, (770) 434-7581
Banfield The Pet Hospital,860 Cobb Place Blvd NW,Kennesaw,GA,30144, (770) 499-0908, (770) 424-4653
Banfield Pet Hospital,4155 Austell Rd Ste 200,Austell,GA,30106, (770) 944-9197, (770) 944-5830
Austell Road Veterinary Clinic,3670 Austell Rd SW,Marietta,GA,30008, (770) 434-1002, (770) 434-4863
Averill Animal Hospital,415 Villa Rica Way SW,Marietta,GA,30064, (770) 422-2402, (770) 426-4257
Faulkville Animal Hospital,3036 Us Hwy 80 ,Bloomingdale,GA,31302, (912) 748-7800, (912) 232-4259
Pooler Vet Hospital,608 E US Hwy 80,Bloomingdale,GA,31302, (912) 748-0709, (888) 502-5687
Fort Stewart Vet Clinic,461 W Bultman Ave,Fort Stewart,GA,31314, (912) 767-4194,
Beatie Animal Clinic,1001 Beatie Blvd,Hinesville,GA,31313, (912) 368-4080,
Liberty Veterinary Clinic,1094 E Oglethorpe Hwy,Hinesville,GA,31313, (912) 876-3357, (912) 876-3358
Flemington Veterinary Hospital,3263 East Oglethorpe Hwy,Hinesville,GA,31313, (912) 368-3226, (912) 368-3239
Griffin's Animal Hospital,4515 Pio Nono Ave,Macon,GA,31206, (478) 788-6334, (478) 788-6006
Banfield Pet Hospital,4551 Billy Williamson Dr,Macon,GA,31206, (478) 471-3701, (478) 745-9767
Northside Wesleyan Animal Hosp,335 Charter Blvd,Macon,GA,31210, (478) 477-6828, (478) 474-0484
AVS Animal Hospital,4634 Presidential Pkwy # Q,Macon,GA,31206, (478) 475-9690, (478) 745-9767
Piedmont Animal Hospital/Svc,4298 Gray Hwy,Gray,GA,31032, (478) 986-9301, (478) 986-2205
Gadd's Animal Doctors-Gray,300 Highway 18 Connector,Gray,GA,31032, (478) 986-3784, (478) 986-4296
Christian Veterinary Hospital,712 S. Houston Lake Rd.,Warner Robins,GA,31088, (478) 953-4622, (478) 328-1393
Westmoreland Animal Hospital,100 Wes Park Dr,Perry,GA,31069, (478) 987-4811, (478) 987-8474
Friendship Animal Hospital,1211 Gray Hwy,Macon,GA,31211, (478) 745-3941, (478) 745-9767
